COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC	KIN001-055
CC1=CC(=C(C=C1Br)NC(=O)NC2=NC=C(N=C2)C)OCC3CNCCO3	Rabusertib
C1CN2CCC1C(C2)NC3=C4C=C(C=CC4=NC(=O)C3=C5NC6=CC=CC=C6N5)Cl	CHIR-124
CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4	891494-64-7
CN1C=C(C=N1)C2=NC3=C4C2=CNNC(=O)C4=CC(=C3)NC(=O)C(C5CCCCC5)N	PF-477736
C1CC1NCC2=CC(=CC=C2)NC3=NNC(=C3)C4=CC=C(C=C4)C5=C(C=C(C=C5)O)O	SCHEMBL20400776
CC(C)(C1CNCC1NC2=NC(=NC3=CC(=C(C=C32)OC)OC)C4=C(C=CC(=C4)F)O)O	NCGC00346436-01
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C(=O)N)OC4=CC=C(C=C4)Cl	BML-277
CC(C)[C@H](CO)NC1=NC2=C(C(=N1)NC3=CC(=C(C=C3)C(=O)O)Cl)N=CN2C(C)C	Purvalanol B
CC(C)C(CO)NC1=NC2=C(C(=N1)NC3=CC(=CC=C3)Cl)N=CN2C(C)C	purvalanol A
C[C@@H](C1=CC=C(C=C1)NC(=O)C)C(=O)NC2=NC=C(S2)C(C)C	PHA690509
C1CCC(CC1)COC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)S(=O)(=O)N	nu6102
CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NCCCCCCN	BS-181
CCCCOC1=C(C=NC2=NNC=C12)C(=O)C3=C(C=C(C=C3F)C)F	BMS-265246
C1=CC=C2C(=C1)C(=C3C(=O)C4=CC=CC=C4N3)C(=O)N2	Indirubin
CC1(CC2=CN=C(N=C2C3=C1C(=NN3C)C(=O)NC)NC4=CC=C(C=C4)N5CCN(CC5)C)C	Milciclib
COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C	741713-40-6
CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)C	602306-29-6
CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO	ZINC34894448
CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NC(CO)C(CO)O	BS-194
CC(C)C1=NN(C2=C1C(=O)NC(=N2)CC3=CC=C(C=C3)OCCO)C4=C(C=CC=C4Cl)Cl	Cdk/Crk Inhibitor
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC	NCGC00346827-01
C1CCC(CC1)COC2=NC(=NC(=C2N=O)N)N	NU6027
C1=CC=C2C(=C1)C3=C(N2)C4=[N+](C=C3)C5=CC=CC=C5C4=O	Fascaplysin
CC1=C(C=C(C=C1)NC2=NC=NC(=C2)C3=CC(=CC=C3)N4C(=O)C5=CC=CC=C5C4=O)NS(=O)(=O)C	CDK9 inhibitor
CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N	VE-821
COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O	YK-4-279
CC1=CC=C(C=C1)S(=O)(=O)NC(CCCN=C(N)N)C(=O)OC	Tame
COC1=CC=C(C=C1)C2CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C4=CC=CC=C4	ML141
C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)C4=CC=CC=C4)NCCO	CASIN
CC1(CC2=C(CO1)SC(=C2C(=O)O)NC(=S)NC(=O)C3=CC=CC=C3)C	314042-01-8
C1CNC(=O)C2=C1NC(=C2)C3=CC=NC=C3	PHA-767491
C1COCCN1CCNC2=C(C(=O)C3=C(C2=O)N=CC=C3)Cl	NSC 663284
CC1=CC(=O)C2=CC=CC=C2C1=O	menadione
CN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC(=O)C5CC5)C(F)(F)F	1421227-52-2
CC(C1=CC=CC=C1)NC(=O)C2=C(C=CS2)OCC3=CC=C(C=C3)Cl	as1949490
CC(OC1=CC=C(C=C1)O)(P(=O)(O)O)P(=O)(O)O	L-690,330
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N	pentamidine
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN.O.O.O.[Na+]	HMS2093I20
COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O	bergenin
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC	berberine
CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)OC)O	Physcion
CC12C3CCC(C1(C(=O)OC2=O)C)O3	NCGC00095145-01
C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F	JNJ-7706621
CN(C)C1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)N4CCN(CC4)CC(=O)NC5=NC=CS5)Cl	CCT129202
CCS(=O)(=O)NC1=CC2=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3)NC4=CC=C(C=C4)CN5CCCCC5	hesperadin
CC(=O)NCC(=O)N1C2CCC1C3=C2C=CC(=C3)NC4=NC=C(C(=N4)NC5CCC5)C(F)(F)F	ZINC100015731
C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC=C(S2)CCNC3=NC=NC4=C3SC=C4	SNS-314
CC1=CC(=NO1)CN2CCN(CC2)C3=C4C(=NC=C3Br)N=C(N4)C5=CC=C(C=C5)N6CCN(CC6)C	1095382-05-0
CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)C(C5=CC=CC=C5)OC	Danusertib
CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4	693228-63-6
CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO	722544-51-6
CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=CC(=CN=C4N3)C)C)C(=O)NC5CCN(CC5)C	TAK-901
CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N	AMG-900
CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)C=CC4=CC=CC=C4	Kinome_3673
C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O	MLN8054
C1CC1NC(=O)NC2=CNNC2=C3N=C4C=CC(=CC4=N3)CN5CCOCC5	AT9283
CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F	Aurora A Inhibitor I
C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O	MK-5108
CCC1=C(C(=CC=C1)CC)NC(=O)N2CC3=C(C2)NN=C3NC(=O)C4=CC=C(C=C4)N5CCN(CC5)C	PHA-680632
C1=CC(=CC=C1C(F)(F)F)NC2=NC3=C(N2)C=C(C=C3)OC4=CC(=NC=C4)C5=NC=C(N5)C(F)(F)F	Raf265 derivative
CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)N(C)C)NC(=O)C3=CC=C(C=C3)O	ZM 336372
C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2	GW305074X
C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC(=C(C=C4)Cl)O	303727-31-3
C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F	CHEMBL3183697
CC(C)N1C=NC2=C1N=C(N=C2NC3=CC(=CC=C3)NC(=O)C=C)NC4CCC(CC4)N(C)C	CHEMBL1706473
C1CNCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)C5=CNN=C5	SCHEMBL19918218
COC1=CC(=CN2C1=NC=C2C3=NC(=CC=C3)NC4CNC4)Cl	CHEMBL3182364
C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC	Midostaurin
CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4C(C(=O)NC4=O)C5=CNC6=CC=CC=C65	CHEMBL2141387
CN(C)CC1CCN2C=C(C3C(C4=CN(CCO1)C5=CC=CC=C54)C(=O)NC3=O)C6=CC=CC=C62	NCGC00263119-01
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5CC(CCN5C6=CC=CC=C64)CN	131848-97-0
CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3	110025-28-0
CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54	go 6983
CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O	Go 6976
CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C	Ingenol 3-angelate
CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O	CHEMBL3348991
CC1CCC2C1C(C3(CC(C2(O3)C)OC(=O)CO)C(C)C)OC(=O)C=CC4=CC=CC=C4	CHEMBL3348887
CC1=CN2C(=CN=C2C(=N1)NC3=C(C=C(C=C3)C(=O)N4CCNCC4)F)C5=CNN=C5	CHEMBL1836853
CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C	Volasertib
COC1=C(C=C(C=C1)CS(=O)(=O)C=CC2=C(C=C(C=C2OC)OC)OC)NCC(=O)[O-].[Na+]	Rigosertib (sodium)
CN(CC1=CC=CC=C1N(CCO)S(=O)(=O)C2=CC=C(C=C2)OC)C(=O)C=CC3=CC=C(C=C3)Cl	CHEMBL2132441
CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7	CHEMBL130321
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl	Calmidazolium
CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=C(S3)C(=O)C4=C(C=CC=C4Cl)Cl)N)OC	CHEBI:95054
CC(C)N1C=NC2=C1N=C(N=C2NCCCCCCNC(=O)OC(C)(C)C)NCCO	926319-75-7
CC(C)C1=CC(=C(C=C1OC2=CN=C(N=C2N)NC(CO)CO)I)OC	Ro 51
CC1=C(C=C(C=C1)CN2CCNCC2)NC(=O)CNC3=CC(=C(C=C3)F)F	GW791343
C1C(=O)N(C(=O)S1)C(CCC2=CC=NC=C2)COC3=CC=C(C=C3)C4=CC(=CC=C4)[N+](=O)[O-]	227088-94-0
C1C2CC3CC1CC(C2)(C3)CC(=O)NC4=CC=CC5=C4C=CC(=N5)NCCNCCO	AZ10606120
C1=CC(=C(C(=C1)Cl)Cl)C2=NN=NN2CC3=CN=CC=C3	A 438079
CC(C1=CC=CC=C1)N=C(NC#N)NC2=CC=CC3=CC=CC=C32	CHEMBL3348973
CC(C)(C)C(NC(=O)CC1=CC(=C(C=C1)OC)OC)N=C(NC#N)NC2=CC=CC3=CC=CC=C32	NCGC00347908-01
C1=CC=C(C(=C1)CNC2=NN=NN2C3=C(C(=CC=C3)Cl)Cl)OC4=CC=CC=N4	A 839977
C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3	Fasudil
C[C@H](C1CCC(CC1)C(=O)NC2=CC=NC=C2)N	y-27632
C1=CC=C(C=C1)CNC(=O)C2=CSC(=N2)NC3=NC=NC=C3	Thiazovivin
CC1=C(C(N=C(N1)C2=CC(=NC=C2)Cl)C3=C(C=C(C=C3)Cl)F)C(=O)NC4=C(C=C5C(=C4)C=NN5)F	GSK-25
CN(C)CCOC1=C(C=CC(=C1)C2=CNN=C2)NC(=O)C3COC4=CC=CC=C4O3	1072959-67-1
CC1CN(CCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C)C(=O)CN	Rho Kinase Inhibitor IV
CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	(3S,4R)-Tofacitinib
CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O	SCHEMBL17971367
C1CCN(C1)CCOC2=C3COCC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2	CHEMBL2136663
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F	leflunomide
CCCC(C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N	KS-00001D5I
C1=CC=C(C=C1)CNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N	134036-52-5
CC1=CC(=NN1)NC2=C(C=C(C(=N2)NC(C)C3=CC=C(C=C3)F)C#N)F	905586-69-8
CC1=CC(=NN1)NC2=NN3C(=C(N=C3C(=C2)CN4CCOCC4)C)CC5=C(C=C(C=C5)Cl)F	GANDOTINIB
CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)N4CCN(CC4)C	TG101209
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	Baricitinib
CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C	CEP-33779
C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5	1206101-20-3
CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O	Pyridone 6
CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)CN4CCOCC4	936091-15-5
CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=CC(=C3)CN4CCOCC4	936091-56-4
CCN1C(=CC2=C3C(=C(N=C21)NC4=NN(C(=C4)C)C)N=CN3C)C(=O)N(C5CC5)C6CC6	BMS-911543
CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2C=C(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C	NCGC00014911-01
CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C	Cryptotanshinone
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O	NCGC00017223-03
CC(C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N	CHEMBL3348888
CN(CC(=O)N(CC1=CC=C(C=C1)C2CCCCC2)C3=CC(=C(C=C3)C(=O)O)O)S(=O)(=O)C4=C(C(=C(C(=C4F)F)F)F)F	BP-1-102
C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=NN=C(O4)C5=CC=CO5	STX-0119
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C(=CC=C3)S(=O)(=O)N	LLL-12
COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)C4=C(C=CC5=CC=CC=C54)O	C188-9
CC1=CC(=NC(=N1)N)NC2=NC=CC(=C2)NC(=O)C3=C(C=CC=C3Cl)Cl	RO495
CN(C)C1=CC=C(C=C1)NC2=NN(C(=N2)N)C(=O)C3=C(C=CC=C3F)F	CHEMBL1288002
CC(C)(C)NC(=O)NC1=CC=CC(=C1)NC2=NC=C(C(=N2)NC(C)(C)CO)F	Bayer-18
C1CN(C2CN(C(=O)C(N2C1=O)CC3=CC=C(C=C3)O)CC4=CC=CC5=CC=CC=C54)C(=O)NCC6=CC=CC=C6	ICG-001
CC1=CC=C(O1)C=NNC(=O)C2=CC=CC=C2OC3=CC=CC=C3	PNU-74654
CC1=CC=C(O1)C=NNC(=O)C2=CC=CC=C2OC3=CC=CC=C3	PNU-74654
COC1=C(C=C(C=C1)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)OC	1118807-13-8
CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4	Wnt-C59
CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC4=C(C(=O)N3C5=CC=CC=C5)SCC4	IWP-2
CC1=C(N=CC(=C1)CC(=O)NC2=NC=C(C=C2)C3=NC=CN=C3)C4=CC(=NC=C4)C	1243244-14-5
CC1=C(C2=C(N1C3=CC=C(C=C3)OC)C=C(C=C2)O)[N+](=O)[O-]	ID-8
C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5	301836-43-1
CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O	emodin
C1C(=CC2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O	Phenoxodiol
CC1=CC(=CC(=C1)OCC2=CC=C(C=C2)CN3CCCC3CO)CS(=O)(=O)C4=CC=CC=C4	CHEMBL3348835
C1C2CC3(CC1CC(C2)(C3)C(=O)NCC4=CC=NC=C4)C5=CC=C(C=C5)Cl	915385-81-8 (free base)
CC1CC2C(C(C3(O2)CCC4C5CC=C6CC(CCC6(C5CC4=C3C)C)O)C)NC1	NCGC00163474-05
CN1C(=CC=N1)C2=NN=C(C3=CC=CC=C32)N4CCC(CC4)N(C)C(=O)C5=C(C=C(C=C5)F)C(F)(F)F	Taladegib
CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC2=CC(=C(C=C2)Cl)C3=NC4=CC=CC=C4N3	SANT-2
CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CC=C3OC)C4=CC(=CC=C4)O)C(=O)OCCOC	HPI 1
CNC1CCC(CC1)N(CC2=CC=CC(=C2)C3=CC=NC=C3)C(=O)C4=C(C5=C(C=CC(=C5S4)F)F)Cl	Hh-Ag1.5
CC1=CC(=C(N=C1)C2=CC(=NC=C2Cl)N3CCN(CC3)C(=O)CCS(=O)(=O)C)C	PF-5274857
C1=CN=CC=C1C2=C(SC(=C2C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5	GANT 58
C1CC(=O)OC(CNC(=O)C(CC=C1)CC(=O)NCC2=CC=C(C=C2)Cl)C3=CC=CC=C3	CHEMBL3348891
CNC1CCC(CC1)N(CC2=CC=CC(=C2)C3=CC=NC=C3)C(=O)C4=C(C5=CC=CC=C5S4)Cl	912545-86-9
C1=CC=C(C=C1)C(=O)NC2=NC=C3C(=C2)C=CN3	OAC1
CC1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F	1194044-20-6
C1C2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)F)F)N	CHEMBL4303286
CC(C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3N(C1=O)C)NC(=O)CC4=CC(=CC(=C4)F)F	209984-56-5
CC(C(=O)NC(C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F	dapt
CC(C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3N(C1=O)C)NC(=O)C(C4=CC(=CC(=C4)F)F)O	209984-57-6
CC(C1=C(C=C(C=C1)F)CCCC(=O)O)N(C2=C(C=CC(=C2)F)F)S(=O)(=O)C3=CC=C(C=C3)Cl	BMS 299897
C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O	Salidroside
CCOC(=O)C1C(O1)C(=O)NC(CC(C)C)C(=O)NCCC(C)C	KS-00000Y5E
C1CC(OC1)CNC2=C3C(=C(OC3=NC=N2)C4=CC=CC=C4)C5=CC=CC=C5	AIM-100
CC1=C(C(=NN1CC2=CC=CC=C2Cl)C)CN(C)CC(COC3=CC=C(C=C3)Cl)O	CHEMBL1824695
CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC(=C(C=C4C(=N3)NCCN5CCOCC5)OC)OC	CPG-52364
CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N	IMIQUIMOD
CC1=C(C2=C(C=C1)C(=O)C3=C(O2)C(=CC=C3)CC(=O)O)C	DMXAA
C1COCCN1CCN2C3=CC=CC=C3N=C2NC(=O)C4=CC(=CC=C4)[N+](=O)[O-]	IRAK-1-4 Inhibitor I
C1C(CN1)NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl	CHEMBL256963
CC(C)(C)C(=O)OC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])CCCO	IRAK inhibitor 5
C1COC2=C(O1)C=CC(=C2)N3C(=O)NN=C3SC4=NC=C(S4)[N+](=O)[O-]	BI-78D3
CC1=NC=C(C=C1)C2=NN(C=N2)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC(=CC=C5)N6CCOCC6	SR-3306
C1COCCN1CC2=CC=C(C=C2)COC3=NC=CC(=N3)C(=C4NC5=CC=CC=C5S4)C#N	CHEMBL3184387
C1=CC=C2C(=C1)N=C(S2)C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4	AS601245
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC4=CC=CC=C43)C#N	TCS JNK 5a
C1CCN(CC1)CCOC2=CC=CC(=C2)C3=NNC4=C3C=C(C=C4)C5=NC=NN5	CC-401
C1CC(CCC1NC2=NC=C3C(=N2)N(C(=N3)NC4=C(C=C(C=C4F)F)F)C5CCOC5)O	CHEMBL1950303
COCCOC1=NN(C(=N1)C2=CC(=C(C=C2)Cl)Cl)C3=CC=C(C=C3)NC(=O)CCl	1047953-91-2
CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)CCl	TPCK
CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O	pepstatin
C1CN(CCC1C2=CC(=C(C=C2)O)O)C3=CC=NC4=CC=CC=C43	ML369
C1=CC=C(C=C1)CS(=O)(=O)F	PMSF
CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N	Camostat
C1=CC=C2C(=C1)C=CC(=O)/C2=CNS(=O)(=O)C3=CC=CS3	STF-083010
C1CC1C(=O)NC2=NNC3=C2C=CC(=C3)C4=CC(=CC=C4)C(=O)NC5CC5	CHEMBL3188944
CC1=CSC(=N1)NC(=O)C2=C(C3=C(C4=C(CCC4)N=C3S2)C(F)(F)F)N	626222-24-0
CC1=CC=CC(=C1)/C=N/NC2=NC(=NC(=C2)N3CCOCC3)OCCC4=CC=CC=N4	Apilimod
CC1=CC=CC(=C1)C=NNC2=NC(=NC(=C2)N3CCOCC3)OCCC4=CC=CC=N4	Apilimod
CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)C3=CC4=CN=C(N=C4C=C3)NCCN5CCOCC5	AMG-47a
COC1=CC(=CC(=C1)C2=CC3=C4C(=CN=C3C=C2)C=CC(=O)N4C5=CC(=C(C=C5)N6CCNCC6)C(F)(F)F)OC	SCHEMBL6874948
CN(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=CC3=CC4=C(N3)CCCC4	SCHEMBL1737451
C1=CC(=CC=C1C2=C3C=C(C=CC3=NO2)C4=NC(=NC=C4)N)Cl	PIM-1 INHIBITOR 2
CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2	SGI-1776
C1=CC(=CC(=C1)C(F)(F)F)C=C2C(=O)NC(=O)S2	SMI-4a
CCNC(=O)NC1=CC=C(C=C1)C2=NC3=C(CCN(C3)C4COC4)C(=N2)N5CCOCC5C	CHEMBL3348949
CN1CCCN(CC1)C(=O)C2=CC=CC(=C2)C3=CC=C(O3)C=C4C5=C(C=CC(=C5)Cl)NC4=O	BCP07985
CC(C1=NC=CS1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)OC	Ki20227
CN(C)CC(=O)N1CCC(CC1)C2=CC(=C(C=C2)NC(=O)C3=NC=C(N3)C#N)C4=CCCCC4	885692-52-4
CC1CCN(CC1)C2=C(C=CC(=C2)N3CCN(CC3)C)NC(=O)C4=CC(=CN4)C#N	c-FMS inhibitor
CCN(CC)CCCCNC1=NC=C2CN(C(=O)N(C2=N1)C)C3=C(C(=CC(=C3Cl)OC)OC)Cl	SCHEMBL17378613
C1CC2=CC=CC=C2C1NC3=NC=NC4=C3C=CN4C5CC(C(C5)O)COS(=O)(=O)N	905579-51-3
CC(C)C(=O)NC1=NC=C(S1)C2=CC(=NN2C3=C(C=CC=C3Cl)Cl)C(F)F	BMS-5
C1CC1C(=O)NC2=NC=C(S2)C3=CC(=NN3C4=C(C=CC=C4Cl)Cl)C(F)F	BMS-3
CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)OC3=C(C=CC=N3)C4=NC(=NC=C4)NC	AMG-Tie2-1
COC1=CC2=C(C=C1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)S(=O)C)C5=CC=NC=C5	Tie2 kinase inhibitor
C1C2CC3CC1CC(C2)C3C(=O)NC4=CC5=C(C=C4)N=C(S5)NC(=O)C6=CC=CC=C6	CHEMBL2134570
CCCCCCCCCCCCCC(=O)N[C@H](CO)[C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O	35922-06-6
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)C)OC)OC(=O)N)C)C)O)OC	NCGC00242478-02
CC1=CN=C(C(=C1OC)C)CN2C=NC3=C2N=C(N=C3Cl)N	BIIB021
CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)OC(=O)CN)C(F)(F)F)C	908115-27-5
CCC1=C(C=C(C(=C1CC(=O)N(CCOC)CCOC)C(=O)C2=CC(=C(C=C2)OCCN3CCOCC3)OC)O)O	KW-2478
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC	30562-34-6
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC	NCGC00163424-03
